Leave-One-Out
TOP 54
                            feature               accuracy                ave_sse              precision                 recall
removed: borrowed_for_emergency_last_year         0.6701388888888888     0.3298611111111111     0.6483516483516484     0.7023809523809523
removed: borrowed_for_daily_expenses_last_year    0.6689814814814815     0.3310185185185185     0.6475770925110133     0.7
removed: borrowed_for_home_or_biz_last_year       0.6724537037037037     0.3275462962962963     0.6512141280353201     0.7023809523809523
removed: phone_technology                         0.6747685185185185     0.32523148148148145    0.6494623655913978     0.719047619047619
removed: can_call                                 0.6689814814814815     0.3310185185185185     0.645021645021645      0.7095238095238096
removed: can_text                                 0.6620370370370371     0.33796296296296297    0.6397379912663755     0.6976190476190476
removed: can_use_internet                         0.6678240740740741     0.33217592592592593    0.6467991169977925     0.6976190476190476
removed: can_make_transaction                     0.6655092592592593     0.3344907407407407     0.6433260393873085     0.7
removed: phone_ownership                          0.6678240740740741     0.33217592592592593    0.6430107526881721     0.7119047619047619
removed: advanced_phone_use                       0.6759259259259259     0.32407407407407407    0.6528384279475983     0.7119047619047619
removed: reg_bank_acct                            0.6747685185185185     0.32523148148148145    0.6541019955654102     0.7023809523809523
removed: reg_mm_acct                              0.6689814814814815     0.3310185185185185     0.6469298245614035     0.7023809523809523
removed: reg_formal_nbfi_account                  0.6712962962962963     0.32870370370370366    0.6497797356828194     0.7023809523809523
removed: financially_included                     0.6689814814814815     0.3310185185185185     0.6475770925110133     0.7
removed: active_bank_user                         0.6736111111111112     0.3263888888888889     0.6533333333333333     0.7
removed: active_mm_user                           0.6678240740740741     0.33217592592592593    0.6467991169977925     0.6976190476190476
removed: active_formal_nbfi_user                  0.6701388888888888     0.3298611111111111     0.6483516483516484     0.7023809523809523
removed: active_informal_nbfi_user                0.6701388888888888     0.3298611111111111     0.6483516483516484     0.7023809523809523
removed: nonreg_active_mm_user                    0.6678240740740741     0.33217592592592593    0.6467991169977925     0.6976190476190476
removed: num_formal_institutions_last_year        0.6759259259259259     0.32407407407407407    0.6555555555555556     0.7023809523809523
removed: num_informal_institutions_last_year      0.6724537037037037     0.3275462962962963     0.6512141280353201     0.7023809523809523
removed: num_financial_activities_last_year       0.6747685185185185     0.32523148148148145    0.6575963718820862     0.6904761904761905


REMOVED: advanced_phone_use
BEST: Top 54 with accuracy 0.6759259259259259
TOP 53
                            feature               accuracy                ave_sse              precision                 recall
removed: country                                  0.6574074074074074     0.34259259259259256    0.6371681415929203     0.6857142857142857
removed: is_urban                                 0.6724537037037037     0.3275462962962963     0.6492374727668845     0.7095238095238096
removed: age                                      0.6782407407407407     0.32175925925925924    0.6543478260869565     0.7166666666666667
removed: female                                   0.6805555555555556     0.3194444444444444     0.6572052401746725     0.7166666666666667
removed: married                                  0.6747685185185185     0.32523148148148145    0.6514161220043573     0.7119047619047619
removed: religion                                 0.6736111111111112     0.3263888888888889     0.6526548672566371     0.7023809523809523
removed: relationship_to_hh_head                  0.6747685185185185     0.32523148148148145    0.6507592190889371     0.7142857142857143
removed: education_level                          0.6747685185185185     0.32523148148148145    0.6475583864118896     0.7261904761904762
removed: literacy                                 0.6759259259259259     0.32407407407407407    0.6508620689655172     0.719047619047619
removed: can_add                                  0.6770833333333334     0.32291666666666663    0.6535947712418301     0.7142857142857143
removed: can_divide                               0.6793981481481481     0.32060185185185186    0.6571428571428571     0.7119047619047619
removed: can_calc_percents                        0.6759259259259259     0.32407407407407407    0.6521739130434783     0.7142857142857143
removed: can_calc_compounding                     0.6759259259259259     0.32407407407407407    0.6528384279475983     0.7119047619047619
removed: employed_last_year                       0.6782407407407407     0.32175925925925924    0.6557017543859649     0.7119047619047619
removed: employment_category_last_year            0.6770833333333334     0.32291666666666663    0.654945054945055      0.7095238095238096
removed: employment_type_last_year                0.6770833333333334     0.32291666666666663    0.6556291390728477     0.7071428571428572
removed: share_hh_income_provided                 0.6805555555555556     0.3194444444444444     0.6585903083700441     0.7119047619047619
removed: income_ag_livestock_last_year            0.6712962962962963     0.32870370370370366    0.648471615720524      0.7071428571428572
removed: income_friends_family_last_year          0.6689814814814815     0.3310185185185185     0.6456521739130435     0.7071428571428572
removed: income_government_last_year              0.6770833333333334     0.32291666666666663    0.6535947712418301     0.7142857142857143
removed: income_own_business_last_year            0.6759259259259259     0.32407407407407407    0.6528384279475983     0.7119047619047619
removed: income_private_sector_last_year          0.6747685185185185     0.32523148148148145    0.6520787746170679     0.7095238095238096
removed: income_public_sector_last_year           0.6747685185185185     0.32523148148148145    0.6527472527472528     0.7071428571428572
removed: num_times_borrowed_last_year             0.6747685185185185     0.32523148148148145    0.6520787746170679     0.7095238095238096
removed: borrowing_recency                        0.6759259259259259     0.32407407407407407    0.6528384279475983     0.7119047619047619
removed: formal_savings                           0.6736111111111112     0.3263888888888889     0.6519823788546255     0.7047619047619048
removed: informal_savings                         0.6736111111111112     0.3263888888888889     0.65                   0.7119047619047619
removed: cash_property_savings                    0.6759259259259259     0.32407407407407407    0.6535087719298246     0.7095238095238096
removed: has_insurance                            0.6736111111111112     0.3263888888888889     0.6513157894736842     0.7071428571428572
removed: has_investment                           0.6793981481481481     0.32060185185185186    0.6557734204793029     0.7166666666666667
removed: num_shocks_last_year                     0.6736111111111112     0.3263888888888889     0.6506550218340611     0.7095238095238096
removed: avg_shock_strength_last_year             0.6747685185185185     0.32523148148148145    0.6527472527472528     0.7071428571428572
removed: borrowed_for_emergency_last_year         0.6759259259259259     0.32407407407407407    0.6528384279475983     0.7119047619047619
removed: borrowed_for_daily_expenses_last_year    0.6759259259259259     0.32407407407407407    0.6528384279475983     0.7119047619047619
removed: borrowed_for_home_or_biz_last_year       0.6747685185185185     0.32523148148148145    0.6520787746170679     0.7095238095238096
removed: phone_technology                         0.6817129629629629     0.31828703703703703    0.6565874730021598     0.7238095238095238
removed: can_call                                 0.6793981481481481     0.32060185185185186    0.6550976138828634     0.719047619047619
removed: can_text                                 0.6712962962962963     0.32870370370370366    0.6478260869565218     0.7095238095238096
removed: can_use_internet                         0.6782407407407407     0.32175925925925924    0.6550218340611353     0.7142857142857143
removed: can_make_transaction                     0.6689814814814815     0.3310185185185185     0.6462882096069869     0.7047619047619048
removed: phone_ownership                          0.6805555555555556     0.3194444444444444     0.6551724137931034     0.7238095238095238
removed: reg_bank_acct                            0.6793981481481481     0.32060185185185186    0.6578366445916115     0.7095238095238096
removed: reg_mm_acct                              0.6770833333333334     0.32291666666666663    0.6529284164859002     0.7166666666666667
removed: reg_formal_nbfi_account                  0.6759259259259259     0.32407407407407407    0.6528384279475983     0.7119047619047619
removed: financially_included                     0.6770833333333334     0.32291666666666663    0.6529284164859002     0.7166666666666667
removed: active_bank_user                         0.6782407407407407     0.32175925925925924    0.6563876651982379     0.7095238095238096
removed: active_mm_user                           0.6770833333333334     0.32291666666666663    0.6535947712418301     0.7142857142857143
removed: active_formal_nbfi_user                  0.6759259259259259     0.32407407407407407    0.6528384279475983     0.7119047619047619
removed: active_informal_nbfi_user                0.6747685185185185     0.32523148148148145    0.6520787746170679     0.7095238095238096
removed: nonreg_active_mm_user                    0.6759259259259259     0.32407407407407407    0.6528384279475983     0.7119047619047619
removed: num_formal_institutions_last_year        0.6782407407407407     0.32175925925925924    0.6570796460176991     0.7071428571428572
removed: num_informal_institutions_last_year      0.6736111111111112     0.3263888888888889     0.6506550218340611     0.7095238095238096
removed: num_financial_activities_last_year       0.6805555555555556     0.3194444444444444     0.6643835616438356     0.6928571428571428


REMOVED: phone_technology
BEST: Top 53 with accuracy 0.6817129629629629
TOP 52
                            feature               accuracy                ave_sse              precision                 recall
removed: country                                  0.6574074074074074     0.34259259259259256    0.6347826086956522     0.6952380952380952
removed: is_urban                                 0.6712962962962963     0.32870370370370366    0.646551724137931      0.7142857142857143
removed: age                                      0.6840277777777778     0.3159722222222222     0.6580645161290323     0.7285714285714285
removed: female                                   0.6886574074074074     0.31134259259259256    0.6623655913978495     0.7333333333333333
removed: married                                  0.6805555555555556     0.3194444444444444     0.6545064377682404     0.7261904761904762
removed: religion                                 0.6770833333333334     0.32291666666666663    0.6529284164859002     0.7166666666666667
removed: relationship_to_hh_head                  0.6851851851851852     0.31481481481481477    0.6581196581196581     0.7333333333333333
removed: education_level                          0.6747685185185185     0.32523148148148145    0.6469344608879493     0.7285714285714285
removed: literacy                                 0.6863425925925926     0.3136574074074074     0.6568421052631579     0.7428571428571429
removed: can_add                                  0.6851851851851852     0.31481481481481477    0.6581196581196581     0.7333333333333333
removed: can_divide                               0.6828703703703703     0.3171296296296296     0.6566523605150214     0.7285714285714285
removed: can_calc_percents                        0.6828703703703703     0.3171296296296296     0.6566523605150214     0.7285714285714285
removed: can_calc_compounding                     0.6817129629629629     0.31828703703703703    0.6565874730021598     0.7238095238095238
removed: employed_last_year                       0.6875                 0.3125                 0.6616379310344828     0.7309523809523809
removed: employment_category_last_year            0.6840277777777778     0.3159722222222222     0.6587473002159827     0.7261904761904762
removed: employment_type_last_year                0.6828703703703703     0.3171296296296296     0.6593886462882096     0.719047619047619
removed: share_hh_income_provided                 0.6851851851851852     0.31481481481481477    0.6608695652173913     0.7238095238095238
removed: income_ag_livestock_last_year            0.6851851851851852     0.31481481481481477    0.6587982832618026     0.7309523809523809
removed: income_friends_family_last_year          0.6736111111111112     0.3263888888888889     0.65                   0.7119047619047619
removed: income_government_last_year              0.6828703703703703     0.3171296296296296     0.6573275862068966     0.7261904761904762
removed: income_own_business_last_year            0.6805555555555556     0.3194444444444444     0.6531914893617021     0.7309523809523809
removed: income_private_sector_last_year          0.6805555555555556     0.3194444444444444     0.6558441558441559     0.7214285714285714
removed: income_public_sector_last_year           0.6840277777777778     0.3159722222222222     0.6594360086767896     0.7238095238095238
removed: num_times_borrowed_last_year             0.6828703703703703     0.3171296296296296     0.655982905982906      0.7309523809523809
removed: borrowing_recency                        0.6840277777777778     0.3159722222222222     0.6567164179104478     0.7333333333333333
removed: formal_savings                           0.6770833333333334     0.32291666666666663    0.6535947712418301     0.7142857142857143
removed: informal_savings                         0.6805555555555556     0.3194444444444444     0.6558441558441559     0.7214285714285714
removed: cash_property_savings                    0.6828703703703703     0.3171296296296296     0.6566523605150214     0.7285714285714285
removed: has_insurance                            0.6840277777777778     0.3159722222222222     0.6587473002159827     0.7261904761904762
removed: has_investment                           0.6805555555555556     0.3194444444444444     0.6551724137931034     0.7238095238095238
removed: num_shocks_last_year                     0.6840277777777778     0.3159722222222222     0.6601307189542484     0.7214285714285714
removed: avg_shock_strength_last_year             0.6828703703703703     0.3171296296296296     0.658008658008658      0.7238095238095238
removed: borrowed_for_emergency_last_year         0.6851851851851852     0.31481481481481477    0.6581196581196581     0.7333333333333333
removed: borrowed_for_daily_expenses_last_year    0.6840277777777778     0.3159722222222222     0.6573875802997858     0.7309523809523809
removed: borrowed_for_home_or_biz_last_year       0.6828703703703703     0.3171296296296296     0.658008658008658      0.7238095238095238
removed: can_call                                 0.6921296296296297     0.30787037037037035    0.6666666666666666     0.7333333333333333
removed: can_text                                 0.6782407407407407     0.32175925925925924    0.6510638297872341     0.7285714285714285
removed: can_use_internet                         0.6805555555555556     0.3194444444444444     0.6545064377682404     0.7261904761904762
removed: can_make_transaction                     0.6793981481481481     0.32060185185185186    0.652452025586354      0.7285714285714285
removed: phone_ownership                          0.6851851851851852     0.31481481481481477    0.6581196581196581     0.7333333333333333
removed: reg_bank_acct                            0.6817129629629629     0.31828703703703703    0.6593406593406593     0.7142857142857143
removed: reg_mm_acct                              0.6851851851851852     0.31481481481481477    0.6581196581196581     0.7333333333333333
removed: reg_formal_nbfi_account                  0.6817129629629629     0.31828703703703703    0.6565874730021598     0.7238095238095238
removed: financially_included                     0.6840277777777778     0.3159722222222222     0.6567164179104478     0.7333333333333333
removed: active_bank_user                         0.6805555555555556     0.3194444444444444     0.6565217391304348     0.719047619047619
removed: active_mm_user                           0.6828703703703703     0.3171296296296296     0.655982905982906      0.7309523809523809
removed: active_formal_nbfi_user                  0.6817129629629629     0.31828703703703703    0.6565874730021598     0.7238095238095238
removed: active_informal_nbfi_user                0.6828703703703703     0.3171296296296296     0.658008658008658      0.7238095238095238
removed: nonreg_active_mm_user                    0.6828703703703703     0.3171296296296296     0.6566523605150214     0.7285714285714285
removed: num_formal_institutions_last_year        0.6840277777777778     0.3159722222222222     0.6594360086767896     0.7238095238095238
removed: num_informal_institutions_last_year      0.6805555555555556     0.3194444444444444     0.6558441558441559     0.7214285714285714
removed: num_financial_activities_last_year       0.6840277777777778     0.3159722222222222     0.6651685393258427     0.7047619047619048


REMOVED: can_call
BEST: Top 52 with accuracy 0.6921296296296297
TOP 51
                            feature               accuracy                ave_sse              precision                 recall
removed: country                                  0.6574074074074074     0.34259259259259256    0.6353711790393013     0.6928571428571428
removed: is_urban                                 0.6736111111111112     0.3263888888888889     0.6468085106382979     0.7238095238095238
removed: age                                      0.6886574074074074     0.31134259259259256    0.6637744034707158     0.7285714285714285
removed: female                                   0.6840277777777778     0.3159722222222222     0.6573875802997858     0.7309523809523809
removed: married                                  0.6770833333333334     0.32291666666666663    0.6509635974304069     0.7238095238095238
removed: religion                                 0.6770833333333334     0.32291666666666663    0.6529284164859002     0.7166666666666667
removed: relationship_to_hh_head                  0.6863425925925926     0.3136574074074074     0.6602150537634408     0.7309523809523809
removed: education_level                          0.6759259259259259     0.32407407407407407    0.6483050847457628     0.7285714285714285
removed: literacy                                 0.6805555555555556     0.3194444444444444     0.652542372881356      0.7333333333333333
removed: can_add                                  0.6898148148148148     0.3101851851851852     0.6637931034482759     0.7333333333333333
removed: can_divide                               0.6886574074074074     0.31134259259259256    0.6630669546436285     0.7309523809523809
removed: can_calc_percents                        0.6840277777777778     0.3159722222222222     0.6573875802997858     0.7309523809523809
removed: can_calc_compounding                     0.6921296296296297     0.30787037037037035    0.6666666666666666     0.7333333333333333
removed: employed_last_year                       0.6875                 0.3125                 0.6616379310344828     0.7309523809523809
removed: employment_category_last_year            0.6863425925925926     0.3136574074074074     0.6616052060737527     0.7261904761904762
removed: employment_type_last_year                0.6793981481481481     0.32060185185185186    0.6544276457883369     0.7214285714285714
removed: share_hh_income_provided                 0.6909722222222222     0.30902777777777773    0.6652267818574514     0.7333333333333333
removed: income_ag_livestock_last_year            0.6817129629629629     0.31828703703703703    0.6519916142557652     0.7404761904761905
removed: income_friends_family_last_year          0.6770833333333334     0.32291666666666663    0.652267818574514      0.719047619047619
removed: income_government_last_year              0.6921296296296297     0.30787037037037035    0.6666666666666666     0.7333333333333333
removed: income_own_business_last_year            0.6851851851851852     0.31481481481481477    0.6581196581196581     0.7333333333333333
removed: income_private_sector_last_year          0.6851851851851852     0.31481481481481477    0.6594827586206896     0.7285714285714285
removed: income_public_sector_last_year           0.6898148148148148     0.3101851851851852     0.6652173913043479     0.7285714285714285
removed: num_times_borrowed_last_year             0.6886574074074074     0.31134259259259256    0.6630669546436285     0.7309523809523809
removed: borrowing_recency                        0.6898148148148148     0.3101851851851852     0.6630901287553648     0.7357142857142858
removed: formal_savings                           0.6805555555555556     0.3194444444444444     0.6572052401746725     0.7166666666666667
removed: informal_savings                         0.6875                 0.3125                 0.6623376623376623     0.7285714285714285
removed: cash_property_savings                    0.6863425925925926     0.3136574074074074     0.6609071274298056     0.7285714285714285
removed: has_insurance                            0.6909722222222222     0.30902777777777773    0.6652267818574514     0.7333333333333333
removed: has_investment                           0.6863425925925926     0.3136574074074074     0.6609071274298056     0.7285714285714285
removed: num_shocks_last_year                     0.6770833333333334     0.32291666666666663    0.6509635974304069     0.7238095238095238
removed: avg_shock_strength_last_year             0.6793981481481481     0.32060185185185186    0.6531049250535332     0.7261904761904762
removed: borrowed_for_emergency_last_year         0.6886574074074074     0.31134259259259256    0.6630669546436285     0.7309523809523809
removed: borrowed_for_daily_expenses_last_year    0.6863425925925926     0.3136574074074074     0.6609071274298056     0.7285714285714285
removed: borrowed_for_home_or_biz_last_year       0.6886574074074074     0.31134259259259256    0.6630669546436285     0.7309523809523809
removed: can_text                                 0.6770833333333334     0.32291666666666663    0.650319829424307      0.7261904761904762
removed: can_use_internet                         0.6851851851851852     0.31481481481481477    0.6581196581196581     0.7333333333333333
removed: can_make_transaction                     0.6817129629629629     0.31828703703703703    0.6552462526766595     0.7285714285714285
removed: phone_ownership                          0.6793981481481481     0.32060185185185186    0.6531049250535332     0.7261904761904762
removed: reg_bank_acct                            0.6828703703703703     0.3171296296296296     0.6600877192982456     0.7166666666666667
removed: reg_mm_acct                              0.6863425925925926     0.3136574074074074     0.6602150537634408     0.7309523809523809
removed: reg_formal_nbfi_account                  0.6909722222222222     0.30902777777777773    0.6652267818574514     0.7333333333333333
removed: financially_included                     0.6828703703703703     0.3171296296296296     0.6566523605150214     0.7285714285714285
removed: active_bank_user                         0.6851851851851852     0.31481481481481477    0.6615720524017468     0.7214285714285714
removed: active_mm_user                           0.6828703703703703     0.3171296296296296     0.658008658008658      0.7238095238095238
removed: active_formal_nbfi_user                  0.6909722222222222     0.30902777777777773    0.6652267818574514     0.7333333333333333
removed: active_informal_nbfi_user                0.6863425925925926     0.3136574074074074     0.6616052060737527     0.7261904761904762
removed: nonreg_active_mm_user                    0.6875                 0.3125                 0.6623376623376623     0.7285714285714285
removed: num_formal_institutions_last_year        0.6875                 0.3125                 0.6637554585152838     0.7238095238095238
removed: num_informal_institutions_last_year      0.6863425925925926     0.3136574074074074     0.6623093681917211     0.7238095238095238
removed: num_financial_activities_last_year       0.6840277777777778     0.3159722222222222     0.6644295302013423     0.7071428571428572


REMOVED: can_calc_compounding
BEST: Top 52 with accuracy 0.6921296296296297
TOP 50
                            feature               accuracy                ave_sse              precision                 recall
removed: country                                  0.6574074074074074     0.34259259259259256    0.6353711790393013     0.6928571428571428
removed: is_urban                                 0.6736111111111112     0.3263888888888889     0.6468085106382979     0.7238095238095238
removed: age                                      0.6886574074074074     0.31134259259259256    0.6637744034707158     0.7285714285714285
removed: female                                   0.6840277777777778     0.3159722222222222     0.6573875802997858     0.7309523809523809
removed: married                                  0.6770833333333334     0.32291666666666663    0.6509635974304069     0.7238095238095238
removed: religion                                 0.6770833333333334     0.32291666666666663    0.6529284164859002     0.7166666666666667
removed: relationship_to_hh_head                  0.6863425925925926     0.3136574074074074     0.6602150537634408     0.7309523809523809
removed: education_level                          0.6759259259259259     0.32407407407407407    0.6483050847457628     0.7285714285714285
removed: literacy                                 0.6817129629629629     0.31828703703703703    0.6539278131634819     0.7333333333333333
removed: can_add                                  0.6898148148148148     0.3101851851851852     0.6637931034482759     0.7333333333333333
removed: can_divide                               0.6886574074074074     0.31134259259259256    0.6630669546436285     0.7309523809523809
removed: can_calc_percents                        0.6840277777777778     0.3159722222222222     0.6573875802997858     0.7309523809523809
removed: employed_last_year                       0.6875                 0.3125                 0.6616379310344828     0.7309523809523809
removed: employment_category_last_year            0.6863425925925926     0.3136574074074074     0.6616052060737527     0.7261904761904762
removed: employment_type_last_year                0.6793981481481481     0.32060185185185186    0.6544276457883369     0.7214285714285714
removed: share_hh_income_provided                 0.6921296296296297     0.30787037037037035    0.6666666666666666     0.7333333333333333
removed: income_ag_livestock_last_year            0.6817129629629629     0.31828703703703703    0.6519916142557652     0.7404761904761905
removed: income_friends_family_last_year          0.6770833333333334     0.32291666666666663    0.652267818574514      0.719047619047619
removed: income_government_last_year              0.6921296296296297     0.30787037037037035    0.6666666666666666     0.7333333333333333
removed: income_own_business_last_year            0.6851851851851852     0.31481481481481477    0.6581196581196581     0.7333333333333333
removed: income_private_sector_last_year          0.6851851851851852     0.31481481481481477    0.6594827586206896     0.7285714285714285
removed: income_public_sector_last_year           0.6898148148148148     0.3101851851851852     0.6652173913043479     0.7285714285714285
removed: num_times_borrowed_last_year             0.6886574074074074     0.31134259259259256    0.6630669546436285     0.7309523809523809
removed: borrowing_recency                        0.6909722222222222     0.30902777777777773    0.6645161290322581     0.7357142857142858
removed: formal_savings                           0.6805555555555556     0.3194444444444444     0.6572052401746725     0.7166666666666667
removed: informal_savings                         0.6875                 0.3125                 0.6623376623376623     0.7285714285714285
removed: cash_property_savings                    0.6863425925925926     0.3136574074074074     0.6609071274298056     0.7285714285714285
removed: has_insurance                            0.6909722222222222     0.30902777777777773    0.6652267818574514     0.7333333333333333
removed: has_investment                           0.6863425925925926     0.3136574074074074     0.6609071274298056     0.7285714285714285
removed: num_shocks_last_year                     0.6782407407407407     0.32175925925925924    0.6517094017094017     0.7261904761904762
removed: avg_shock_strength_last_year             0.6805555555555556     0.3194444444444444     0.6538461538461539     0.7285714285714285
removed: borrowed_for_emergency_last_year         0.6886574074074074     0.31134259259259256    0.6630669546436285     0.7309523809523809
removed: borrowed_for_daily_expenses_last_year    0.6875                 0.3125                 0.6623376623376623     0.7285714285714285
removed: borrowed_for_home_or_biz_last_year       0.6898148148148148     0.3101851851851852     0.6637931034482759     0.7333333333333333
removed: can_text                                 0.6770833333333334     0.32291666666666663    0.650319829424307      0.7261904761904762
removed: can_use_internet                         0.6851851851851852     0.31481481481481477    0.6581196581196581     0.7333333333333333
removed: can_make_transaction                     0.6828703703703703     0.3171296296296296     0.6566523605150214     0.7285714285714285
removed: phone_ownership                          0.6805555555555556     0.3194444444444444     0.6545064377682404     0.7261904761904762
removed: reg_bank_acct                            0.6828703703703703     0.3171296296296296     0.6600877192982456     0.7166666666666667
removed: reg_mm_acct                              0.6875                 0.3125                 0.6609442060085837     0.7333333333333333
removed: reg_formal_nbfi_account                  0.6909722222222222     0.30902777777777773    0.6652267818574514     0.7333333333333333
removed: financially_included                     0.6828703703703703     0.3171296296296296     0.6566523605150214     0.7285714285714285
removed: active_bank_user                         0.6851851851851852     0.31481481481481477    0.6615720524017468     0.7214285714285714
removed: active_mm_user                           0.6828703703703703     0.3171296296296296     0.658008658008658      0.7238095238095238
removed: active_formal_nbfi_user                  0.6909722222222222     0.30902777777777773    0.6652267818574514     0.7333333333333333
removed: active_informal_nbfi_user                0.6863425925925926     0.3136574074074074     0.6616052060737527     0.7261904761904762
removed: nonreg_active_mm_user                    0.6875                 0.3125                 0.6623376623376623     0.7285714285714285
removed: num_formal_institutions_last_year        0.6875                 0.3125                 0.6637554585152838     0.7238095238095238
removed: num_informal_institutions_last_year      0.6863425925925926     0.3136574074074074     0.6623093681917211     0.7238095238095238
removed: num_financial_activities_last_year       0.6851851851851852     0.31481481481481477    0.6644444444444444     0.7119047619047619


REMOVED: share_hh_income_provided
BEST: Top 52 with accuracy 0.6921296296296297
TOP 49
                            feature               accuracy                ave_sse              precision                 recall
removed: country                                  0.6574074074074074     0.34259259259259256    0.6353711790393013     0.6928571428571428
removed: is_urban                                 0.6712962962962963     0.32870370370370366    0.6428571428571429     0.7285714285714285
removed: age                                      0.6875                 0.3125                 0.6623376623376623     0.7285714285714285
removed: female                                   0.6886574074074074     0.31134259259259256    0.6623655913978495     0.7333333333333333
removed: married                                  0.6817129629629629     0.31828703703703703    0.6552462526766595     0.7285714285714285
removed: religion                                 0.6782407407407407     0.32175925925925924    0.6543478260869565     0.7166666666666667
removed: relationship_to_hh_head                  0.6851851851851852     0.31481481481481477    0.6594827586206896     0.7285714285714285
removed: education_level                          0.6770833333333334     0.32291666666666663    0.6490486257928119     0.7309523809523809
removed: literacy                                 0.6840277777777778     0.3159722222222222     0.6567164179104478     0.7333333333333333
removed: can_add                                  0.6886574074074074     0.31134259259259256    0.6623655913978495     0.7333333333333333
removed: can_divide                               0.6886574074074074     0.31134259259259256    0.6630669546436285     0.7309523809523809
removed: can_calc_percents                        0.6898148148148148     0.3101851851851852     0.6637931034482759     0.7333333333333333
removed: employed_last_year                       0.6898148148148148     0.3101851851851852     0.6637931034482759     0.7333333333333333
removed: employment_category_last_year            0.6875                 0.3125                 0.6616379310344828     0.7309523809523809
removed: employment_type_last_year                0.6840277777777778     0.3159722222222222     0.6580645161290323     0.7285714285714285
removed: income_ag_livestock_last_year            0.6828703703703703     0.3171296296296296     0.6553191489361702     0.7333333333333333
removed: income_friends_family_last_year          0.6793981481481481     0.32060185185185186    0.6544276457883369     0.7214285714285714
removed: income_government_last_year              0.6921296296296297     0.30787037037037035    0.6666666666666666     0.7333333333333333
removed: income_own_business_last_year            0.6875                 0.3125                 0.6616379310344828     0.7309523809523809
removed: income_private_sector_last_year          0.6875                 0.3125                 0.6616379310344828     0.7309523809523809
removed: income_public_sector_last_year           0.6909722222222222     0.30902777777777773    0.6666666666666666     0.7285714285714285
removed: num_times_borrowed_last_year             0.6898148148148148     0.3101851851851852     0.6652173913043479     0.7285714285714285
removed: borrowing_recency                        0.6909722222222222     0.30902777777777773    0.665943600867679      0.7309523809523809
removed: formal_savings                           0.6817129629629629     0.31828703703703703    0.6593406593406593     0.7142857142857143
